squirrel_id,primary_colour,black,cinnamon,gray,white
A-01-01,Gray,False,False,False,True
A-01-02,Gray,False,False,False,True
A-01-03,Gray,False,False,False,True
A-01-04,Gray,False,False,False,True
A-01-05,Gray,False,True,False,False
A-01-06,Gray,False,True,False,False
A-01-07,Gray,False,False,False,True
A-01-08,Black,False,False,True,False
A-01-09,Gray,False,False,False,True
A-01-10,Gray,False,False,False,True
A-01-11,Gray,True,False,False,False
A-01-12,Gray,False,False,False,True
A-02-01,Gray,False,False,True,False
A-02-02,Gray,False,True,False,False
A-02-04,Gray,False,True,False,False
A-02-05,Gray,False,True,False,False
A-02-06,Gray,False,True,False,False
A-02-08,Gray,False,True,False,False
A-02-09,Gray,False,True,False,False
A-02-10,Gray,False,True,False,False
A-02-11,Gray,False,True,False,False
A-02-12,Gray,False,True,False,False
A-02-13,Gray,False,False,False,True
A-02-14,Gray,False,False,True,False
A-02-15,Gray,False,False,False,True
A-02-16,Gray,False,True,False,False
A-02-17,Gray,False,False,True,False
A-02-18,Gray,False,True,False,False
A-02-19,Gray,False,True,False,False
A-02-20,Gray,False,True,False,False
A-02-21,Gray,False,True,False,False
A-02-22,Gray,False,True,False,False
A-02-23,Gray,False,True,False,False
A-02-24,Cinnamon,False,False,False,True
A-03-01,Gray,False,True,False,False
A-03-02,Gray,False,False,False,True
A-03-05,Gray,False,True,False,False
A-03-06,Gray,False,False,True,False
A-03-07,Gray,False,True,False,False
A-03-08,Gray,False,True,False,False
A-03-10,Gray,False,True,False,False
A-03-11,Gray,False,True,False,False
A-03-12,Gray,False,False,False,True
A-03-14,Gray,False,True,False,False
A-03-16,Gray,False,True,False,False
A-04-01,Gray,False,False,False,True
A-04-02,Black,True,False,False,False
A-04-03,Gray,False,False,False,True
A-04-04,Gray,False,False,False,True
A-04-05,Gray,False,False,False,True
A-04-06,Gray,False,False,True,False
A-04-07,Gray,False,False,True,False
A-04-08,Gray,False,False,False,True
A-04-09,Gray,False,False,False,True
A-04-10,Gray,False,False,True,False
A-04-11,Black,True,False,False,False
A-04-12,Gray,False,False,False,True
A-04-13,Gray,False,False,False,True
A-04-14,Gray,False,False,True,False
A-04-15,Gray,True,False,False,False
A-06-01,Gray,False,False,True,False
A-06-02,Gray,False,False,True,False
A-06-03,Gray,False,False,True,False
A-06-04,Gray,False,False,True,False
A-06-05,Gray,False,False,True,False
A-06-06,Gray,False,False,True,False
A-06-07,Gray,False,False,True,False
A-06-09,Gray,False,False,True,False
A-06-10,Gray,False,False,True,False
A-06-11,Gray,False,False,True,False
A-06-12,Gray,False,False,True,False
A-06-18,Gray,False,False,True,False
A-06-19,Gray,False,False,True,False
A-06-20,Gray,False,False,True,False
A-06-21,Gray,False,False,True,False
A-06-22,Gray,False,False,True,False
A-06-23,Gray,False,False,True,False
A-06-24,Gray,False,False,True,False
A-06-25,Gray,False,False,True,False
A-06-26,Gray,False,False,True,False
A-06-27,Gray,False,False,True,False
A-06-28,Gray,False,False,True,False
A-06-29,Gray,False,False,True,False
A-06-30,Gray,False,False,True,False
A-06-34,Gray,False,False,True,False
B-07-08,Gray,False,True,False,False
B-08-01,Cinnamon,False,True,False,False
B-08-02,Gray,False,False,True,False
B-09-01,Gray,False,True,False,False
B-09-02,Gray,False,True,False,False
B-09-03,Gray,False,True,False,False
B-09-04,Gray,False,True,False,False
B-09-06,Gray,False,True,False,False
B-09-07,Gray,False,True,False,False
B-09-08,Gray,False,True,False,False
B-09-09,Gray,False,True,False,False
B-09-10,Gray,False,True,False,False
B-09-11,Gray,False,True,False,False
B-09-12,Gray,False,True,False,False
B-09-14,Black,False,True,False,False
B-09-18,Gray,False,True,False,False
B-09-20,Gray,False,True,False,False
B-09-23,Gray,False,True,False,False
B-09-24,Black,False,True,False,False
B-09-25,Black,False,True,False,False
B-10-01,Gray,False,False,True,False
B-10-02,Gray,False,False,True,False
B-10-03,Gray,False,False,True,False
B-10-04,Gray,False,False,True,False
B-10-09,Gray,False,False,True,False
B-12-01,Gray,False,False,True,False
B-12-03,Gray,False,False,True,False
B-12-05,Gray,False,False,True,False
B-12-06,Gray,False,False,True,False
B-12-07,Gray,False,False,True,False
B-12-08,Gray,False,False,True,False
B-12-10,Gray,False,False,True,False
B-12-11,Gray,False,False,True,False
B-12-12,Gray,False,False,True,False
C-14-01,Gray,False,True,False,True
C-14-02,Gray,False,True,False,False
C-14-03,Gray,False,True,False,False
C-14-04,Gray,False,True,False,False
C-14-05,Gray,False,True,False,False
C-14-06,Gray,False,True,False,False
C-14-07,Gray,False,True,False,False
C-15-10,Gray,False,False,True,False
C-15-11,Gray,False,False,False,True
C-16-01,Gray,False,True,False,False
C-18-01,Gray,False,True,False,False
C-19-04,Gray,False,True,False,True
C-19-05,Gray,False,True,False,True
C-19-06,Gray,False,True,False,False
C-19-07,Gray,False,True,False,False
C-19-08,Gray,False,False,False,True
C-19-09,Gray,False,False,True,False
C-19-10,Gray,False,False,False,True
C-19-11,Gray,False,True,False,True
C-19-12,Gray,False,False,False,True
C-19-14,Gray,False,False,False,True
C-19-16,Gray,False,False,False,True
C-19-17,Gray,False,False,False,True
C-19-18,Gray,False,False,False,True
C-20-07,Cinnamon,False,False,False,True
C-20-10,Gray,False,True,False,True
C-20-11,Gray,False,False,False,True
C-20-12,Gray,False,False,False,True
C-20-13,Gray,False,False,False,True
C-20-14,Gray,False,True,False,False
D-21-01,Gray,False,True,False,False
D-21-02,Gray,False,True,False,False
D-21-03,Gray,False,True,False,False
D-21-06,Gray,False,True,False,False
D-21-12,Gray,False,False,False,True
D-21-13,Gray,False,False,True,False
D-21-14,Gray,False,True,False,False
D-22-01,Cinnamon,False,False,False,True
D-22-02,Gray,False,False,False,True
D-22-03,Gray,False,False,False,True
D-22-04,Gray,False,True,False,False
D-22-08,Cinnamon,False,False,False,True
D-22-09,Gray,False,False,True,False
D-22-10,Gray,False,True,False,True
D-22-11,Gray,False,False,True,False
D-22-12,Gray,False,False,False,True
D-22-13,Gray,False,False,False,True
D-22-14,Cinnamon,False,False,False,True
D-22-15,Gray,False,False,False,True
D-22-16,Cinnamon,False,False,True,False
