squirrel_id,approaches,indifferent,runs_from,watching
A-01-01,False,True,False,False
A-01-02,False,True,False,False
A-01-03,False,True,False,False
A-01-04,False,True,False,False
A-01-05,False,True,False,False
A-01-06,False,True,False,False
A-01-07,False,True,False,False
A-01-08,False,False,True,False
A-01-09,False,True,False,False
A-01-10,False,True,False,False
A-01-11,False,True,False,False
A-01-12,False,False,True,False
A-02-01,False,True,False,False
A-02-02,False,True,False,False
A-02-04,False,True,False,False
A-02-05,False,False,True,False
A-02-06,False,True,False,False
A-02-08,False,True,False,False
A-02-09,False,True,False,False
A-02-10,False,True,False,False
A-02-11,False,False,True,False
A-02-12,False,True,False,False
A-02-13,False,True,False,False
A-02-14,False,True,False,False
A-02-15,False,True,False,False
A-02-16,False,True,False,False
A-02-17,False,True,False,False
A-02-18,False,True,False,False
A-02-19,False,True,False,False
A-02-20,False,True,False,False
A-02-21,False,False,True,False
A-02-22,False,True,False,False
A-02-23,False,True,False,False
A-02-24,False,True,False,False
A-03-01,False,False,False,True
A-03-02,False,False,True,False
A-03-05,False,False,True,False
A-03-06,False,False,True,True
A-03-07,False,False,True,False
A-03-08,False,False,True,False
A-03-10,False,False,False,True
A-03-11,True,False,False,True
A-03-12,False,False,True,False
A-03-14,False,False,True,True
A-03-16,False,True,False,False
A-04-01,False,True,False,False
A-04-02,False,True,False,False
A-04-03,False,True,False,False
A-04-04,False,True,False,False
A-04-05,False,True,False,False
A-04-06,False,True,False,False
A-04-07,False,True,False,False
A-04-08,False,False,True,False
A-04-09,False,True,False,False
A-04-10,False,True,False,False
A-04-11,False,True,False,False
A-04-12,False,True,False,False
A-04-13,False,True,False,False
A-04-14,False,True,False,False
A-04-15,False,True,False,False
A-06-01,False,True,False,False
A-06-02,False,True,False,False
A-06-03,False,True,False,False
A-06-04,False,True,False,False
A-06-05,False,True,False,False
A-06-06,False,True,False,False
A-06-07,False,True,False,False
A-06-09,False,True,False,False
A-06-10,False,True,False,False
A-06-11,False,True,False,False
A-06-12,False,True,False,False
A-06-18,False,True,False,False
A-06-19,False,True,False,False
A-06-20,False,True,False,False
A-06-21,False,True,False,False
A-06-22,False,True,False,False
A-06-23,False,True,False,False
A-06-24,False,True,False,False
A-06-25,False,True,False,False
A-06-26,False,True,False,False
A-06-27,False,True,False,False
A-06-28,False,True,False,False
A-06-29,False,False,True,False
A-06-30,False,False,True,False
A-06-34,False,False,True,False
B-07-08,False,True,False,False
B-08-01,True,False,False,False
B-08-02,False,True,False,False
B-09-01,False,True,False,False
B-09-02,False,True,False,False
B-09-03,False,True,False,False
B-09-04,False,False,True,False
B-09-06,False,True,False,False
B-09-07,True,False,False,False
B-09-08,False,True,False,False
B-09-09,False,True,False,False
B-09-10,True,False,False,False
B-09-11,False,True,False,False
B-09-12,False,True,False,False
B-09-14,True,False,False,False
B-09-18,False,True,False,False
B-09-20,False,True,False,False
B-09-23,False,True,False,False
B-09-24,False,True,False,False
B-09-25,False,True,False,False
B-10-01,False,True,False,False
B-10-02,False,True,False,False
B-10-03,False,True,False,False
B-10-04,False,True,False,False
B-10-09,False,True,False,False
B-12-01,False,True,False,False
B-12-03,True,False,False,False
B-12-05,True,False,False,False
B-12-06,True,False,False,False
B-12-07,False,True,False,False
B-12-08,False,True,False,False
B-12-10,True,False,False,False
B-12-11,False,True,False,False
B-12-12,False,False,True,False
C-14-01,False,False,True,False
C-14-02,False,True,False,False
C-14-03,False,False,True,False
C-14-04,True,False,False,False
C-14-05,True,False,False,False
C-14-06,False,True,False,False
C-14-07,False,True,False,False
C-15-10,True,False,False,False
C-15-11,True,False,False,False
C-16-01,True,False,False,False
C-18-01,False,False,True,False
C-19-04,True,False,False,False
C-19-05,True,False,False,False
C-19-06,True,False,False,False
C-19-07,True,False,False,False
C-19-08,True,False,False,False
C-19-09,False,True,True,False
C-19-10,False,True,False,False
C-19-11,False,True,False,False
C-19-12,False,True,False,False
C-19-14,True,False,True,False
C-19-16,False,False,False,True
C-19-17,False,True,False,False
C-19-18,False,True,False,False
C-20-07,False,False,True,False
C-20-10,False,True,False,False
C-20-11,False,True,False,False
C-20-12,False,True,False,False
C-20-13,False,True,False,False
C-20-14,False,True,False,False
D-21-01,False,False,False,True
D-21-02,False,True,False,False
D-21-03,True,False,False,False
D-21-06,True,False,False,False
D-21-12,False,True,False,False
D-21-13,False,False,True,False
D-21-14,False,True,False,False
D-22-01,False,True,False,False
D-22-02,True,False,False,False
D-22-03,False,False,True,False
D-22-04,False,False,True,False
D-22-08,False,False,True,False
D-22-09,False,True,False,False
D-22-10,False,False,True,False
D-22-11,False,False,True,False
D-22-12,False,True,False,False
D-22-13,False,True,False,False
D-22-14,False,True,False,False
D-22-15,False,True,False,False
D-22-16,False,True,False,False
D-22-17,False,True,False,False
D-22-18,False,True,False,False
D-22-20,False,True,False,False
D-22-21,False,True,False,False
D-22-22,False,True,False,False
D-22-23,False,True,False,False
D-22-24,False,True,False,False
D-22-25,False,False,True,False
D-22-26,False,True,False,False
D-22-27,False,True,False,False
D-22-28,False,True,False,False
