squirrel_id,latitude,longitude
A-01-01,40.85941,-73.933936
A-01-02,40.859436,-73.933937
A-01-03,40.859416,-73.933894
A-01-04,40.859418,-73.933895
A-01-05,40.859493,-73.93359
A-01-06,40.860825,-73.932871
A-01-07,40.860225,-73.933143
A-01-08,40.859965,-73.933412
A-01-09,40.859892,-73.933326
A-01-10,40.859636,-73.933717
A-01-11,40.859576,-73.933738
A-01-12,40.859989,-73.934544
A-02-01,40.845749,-73.9407
A-02-02,40.845875,-73.940808
A-02-04,40.846088,-73.940613
A-02-05,40.846088,-73.940613
A-02-06,40.846088,-73.940613
A-02-08,40.846222,-73.94094
A-02-09,40.846197,-73.941026
A-02-10,40.846185,-73.940613
A-02-11,40.846271,-73.940579
A-02-12,40.846332,-73.940369
A-02-13,40.846332,-73.940369
A-02-14,40.846332,-73.940369
A-02-15,40.846458,-73.94103
A-02-16,40.846417,-73.941115
A-02-17,40.846296,-73.941132
A-02-18,40.846064,-73.941497
A-02-19,40.846065,-73.941498
A-02-20,40.847296,-73.942061
A-02-21,40.847259,-73.941598
A-02-22,40.84719,-73.941308
A-02-23,40.84719,-73.941308
A-02-24,40.847113,-73.940937
A-03-01,40.841178,-73.935482
A-03-02,40.841204,-73.935434
A-03-05,40.841359,-73.934339
A-03-06,40.841375,-73.934242
A-03-07,40.841375,-73.934242
A-03-08,40.842308,-73.933061
A-03-10,40.842511,-73.932916
A-03-11,40.842673,-73.932793
A-03-12,40.842795,-73.933002
A-03-14,40.842327,-73.934269
A-03-16,40.842769,-73.934478
A-04-01,40.817593,-73.948855
A-04-02,40.817719,-73.948855
A-04-03,40.817719,-73.948914
A-04-04,40.817711,-73.949118
A-04-05,40.817569,-73.948931
A-04-06,40.817544,-73.949016
A-04-07,40.817544,-73.949016
A-04-08,40.817479,-73.949006
A-04-09,40.816685,-73.949689
A-04-10,40.816677,-73.949549
A-04-11,40.816555,-73.949609
A-04-12,40.816506,-73.949587
A-04-13,40.816425,-73.949474
A-04-14,40.818308,-73.948952
A-04-15,40.818263,-73.948909
A-06-01,40.804912,-73.943735
A-06-02,40.804912,-73.943736
A-06-03,40.804913,-73.943735
A-06-04,40.804915,-73.943737
A-06-05,40.804916,-73.943735
A-06-06,40.804914,-73.943736
A-06-07,40.804917,-73.943737
A-06-09,40.804701,-73.944118
A-06-10,40.804746,-73.94374
A-06-11,40.804912,-73.94408
A-06-12,40.804729,-73.944053
A-06-18,40.803616,-73.944464
A-06-19,40.803413,-73.944207
A-06-20,40.80338,-73.944148
A-06-21,40.803392,-73.944228
A-06-22,40.803794,-73.944003
A-06-23,40.803795,-73.944003
A-06-24,40.803794,-73.944004
A-06-25,40.803794,-73.944005
A-06-26,40.803796,-73.944003
A-06-27,40.803795,-73.944004
A-06-28,40.80362,-73.944067
A-06-29,40.80352,-73.943629
A-06-30,40.803507,-73.943661
A-06-34,40.804878,-73.942781
B-07-08,40.742807,-73.988435
B-08-01,40.735981,-73.99062
B-08-02,40.735847,-73.990115
B-09-01,40.733753,-73.983682
B-09-02,40.733648,-73.983483
B-09-03,40.733631,-73.983419
B-09-04,40.733546,-73.983263
B-09-06,40.733648,-73.984294
B-09-07,40.733737,-73.98438
B-09-08,40.733501,-73.984417
B-09-09,40.733575,-73.984391
B-09-10,40.733506,-73.984553
B-09-11,40.733619,-73.984708
B-09-12,40.733648,-73.984638
B-09-14,40.733932,-73.984612
B-09-18,40.73403,-73.984199
B-09-20,40.734314,-73.984231
B-09-23,40.734335,-73.984038
B-09-24,40.734383,-73.984118
B-09-25,40.734356,-73.984062
B-10-01,40.730703,-73.995821
B-10-02,40.730638,-73.995784
B-10-03,40.730528,-73.995891
B-10-04,40.730394,-73.996009
B-10-09,40.730223,-73.996132
B-12-01,40.725738,-73.972105
B-12-03,40.72263,-73.973001
B-12-05,40.722614,-73.973033
B-12-06,40.722173,-73.97272
B-12-07,40.719379,-73.973504
