squirrel_id,latitude,longitude,year,month,day
A-01-01,40.85941,-73.933936,2020,3,1
A-01-02,40.859436,-73.933937,2020,3,1
A-01-03,40.859416,-73.933894,2020,3,1
A-01-04,40.859418,-73.933895,2020,3,1
A-01-05,40.859493,-73.93359,2020,3,1
A-01-06,40.860825,-73.932871,2020,3,1
A-01-07,40.860225,-73.933143,2020,3,1
A-01-08,40.859965,-73.933412,2020,3,1
A-01-09,40.859892,-73.933326,2020,3,1
A-01-10,40.859636,-73.933717,2020,3,1
A-01-11,40.859576,-73.933738,2020,3,1
A-01-12,40.859989,-73.934544,2020,3,1
A-02-01,40.845749,-73.9407,2020,3,1
A-02-02,40.845875,-73.940808,2020,3,1
A-02-04,40.846088,-73.940613,2020,3,1
A-02-05,40.846088,-73.940613,2020,3,1
A-02-06,40.846088,-73.940613,2020,3,1
A-02-08,40.846222,-73.94094,2020,3,1
A-02-09,40.846197,-73.941026,2020,3,1
A-02-10,40.846185,-73.940613,2020,3,1
A-02-11,40.846271,-73.940579,2020,3,1
A-02-12,40.846332,-73.940369,2020,3,1
A-02-13,40.846332,-73.940369,2020,3,1
A-02-14,40.846332,-73.940369,2020,3,1
A-02-15,40.846458,-73.94103,2020,3,1
A-02-16,40.846417,-73.941115,2020,3,1
A-02-17,40.846296,-73.941132,2020,3,1
A-02-18,40.846064,-73.941497,2020,3,1
A-02-19,40.846065,-73.941498,2020,3,1
A-02-20,40.847296,-73.942061,2020,3,1
A-02-21,40.847259,-73.941598,2020,3,1
A-02-22,40.84719,-73.941308,2020,3,1
A-02-23,40.84719,-73.941308,2020,3,1
A-02-24,40.847113,-73.940937,2020,3,1
A-03-01,40.841178,-73.935482,2020,3,1
A-03-02,40.841204,-73.935434,2020,3,1
A-03-05,40.841359,-73.934339,2020,3,1
A-03-06,40.841375,-73.934242,2020,3,1
A-03-07,40.841375,-73.934242,2020,3,1
A-03-08,40.842308,-73.933061,2020,3,1
A-03-10,40.842511,-73.932916,2020,3,1
A-03-11,40.842673,-73.932793,2020,3,1
A-03-12,40.842795,-73.933002,2020,3,1
A-03-14,40.842327,-73.934269,2020,3,1
A-03-16,40.842769,-73.934478,2020,3,1
A-04-01,40.817593,-73.948855,2020,3,1
A-04-02,40.817719,-73.948855,2020,3,1
A-04-03,40.817719,-73.948914,2020,3,1
A-04-04,40.817711,-73.949118,2020,3,1
A-04-05,40.817569,-73.948931,2020,3,1
A-04-06,40.817544,-73.949016,2020,3,1
A-04-07,40.817544,-73.949016,2020,3,1
A-04-08,40.817479,-73.949006,2020,3,1
A-04-09,40.816685,-73.949689,2020,3,1
A-04-10,40.816677,-73.949549,2020,3,1
A-04-11,40.816555,-73.949609,2020,3,1
A-04-12,40.816506,-73.949587,2020,3,1
A-04-13,40.816425,-73.949474,2020,3,1
A-04-14,40.818308,-73.948952,2020,3,1
A-04-15,40.818263,-73.948909,2020,3,1
A-06-01,40.804912,-73.943735,2020,3,1
A-06-02,40.804912,-73.943736,2020,3,1
A-06-03,40.804913,-73.943735,2020,3,1
A-06-04,40.804915,-73.943737,2020,3,1
A-06-05,40.804916,-73.943735,2020,3,1
A-06-06,40.804914,-73.943736,2020,3,1
A-06-07,40.804917,-73.943737,2020,3,1
A-06-09,40.804701,-73.944118,2020,3,1
A-06-10,40.804746,-73.94374,2020,3,1
A-06-11,40.804912,-73.94408,2020,3,1
A-06-12,40.804729,-73.944053,2020,3,1
A-06-18,40.803616,-73.944464,2020,3,1
A-06-19,40.803413,-73.944207,2020,3,1
A-06-20,40.80338,-73.944148,2020,3,1
A-06-21,40.803392,-73.944228,2020,3,1
A-06-22,40.803794,-73.944003,2020,3,1
A-06-23,40.803795,-73.944003,2020,3,1
A-06-24,40.803794,-73.944004,2020,3,1
A-06-25,40.803794,-73.944005,2020,3,1
A-06-26,40.803796,-73.944003,2020,3,1
A-06-27,40.803795,-73.944004,2020,3,1
A-06-28,40.80362,-73.944067,2020,3,1
A-06-29,40.80352,-73.943629,2020,3,1
A-06-30,40.803507,-73.943661,2020,3,1
A-06-34,40.804878,-73.942781,2020,3,1
B-07-08,40.742807,-73.988435,2020,3,1
B-08-01,40.735981,-73.99062,2020,3,1
B-08-02,40.735847,-73.990115,2020,3,1
B-09-01,40.733753,-73.983682,2020,3,1
B-09-02,40.733648,-73.983483,2020,3,1
B-09-03,40.733631,-73.983419,2020,3,1
B-09-04,40.733546,-73.983263,2020,3,1
B-09-06,40.733648,-73.984294,2020,3,1
B-09-07,40.733737,-73.98438,2020,3,1
B-09-08,40.733501,-73.984417,2020,3,1
B-09-09,40.733575,-73.984391,2020,3,1
B-09-10,40.733506,-73.984553,2020,3,1
B-09-11,40.733619,-73.984708,2020,3,1
B-09-12,40.733648,-73.984638,2020,3,1
B-09-14,40.733932,-73.984612,2020,3,1
B-09-18,40.73403,-73.984199,2020,3,1
B-09-20,40.734314,-73.984231,2020,3,1
B-09-23,40.734335,-73.984038,2020,3,1
B-09-24,40.734383,-73.984118,2020,3,1
B-09-25,40.734356,-73.984062,2020,3,1
B-10-01,40.730703,-73.995821,2020,3,1
B-10-02,40.730638,-73.995784,2020,3,1
B-10-03,40.730528,-73.995891,2020,3,1
B-10-04,40.730394,-73.996009,2020,3,1
B-10-09,40.730223,-73.996132,2020,3,1
B-12-01,40.725738,-73.972105,2020,3,1
B-12-03,40.72263,-73.973001,2020,3,1
B-12-05,40.722614,-73.973033,2020,3,1
B-12-06,40.722173,-73.97272,2020,3,1
B-12-07,40.719379,-73.973504,2020,3,1
B-12-08,40.71935,-73.973445,2020,3,1
B-12-10,40.724011,-73.97313,2020,3,1
B-12-11,40.724608,-73.972841,2020,3,1
B-12-12,40.724774,-73.97275,2020,3,1
C-14-01,40.715415,-73.989567,2020,3,1
C-14-02,40.715484,-73.989299,2020,3,1
C-14-03,40.714749,-73.989577,2020,3,1
C-14-04,40.71468,-73.989776,2020,3,1
C-14-05,40.714846,-73.989679,2020,3,1
C-14-06,40.715033,-73.989609,2020,3,1
C-14-07,40.715208,-73.989534,2020,3,1
C-15-10,40.71174,-73.980539,2020,3,1
C-15-11,40.711442,-73.978354,2020,3,1
C-16-01,40.714867,-74.000236,2020,3,1
C-18-01,40.716335,-74.015612,2020,3,1
C-19-04,40.712893,-74.005233,2020,3,1
C-19-05,40.712893,-74.005233,2020,3,1
C-19-06,40.712922,-74.005147,2020,3,1
C-19-07,40.712922,-74.005147,2020,3,1
C-19-08,40.713044,-74.005404,2020,3,1
C-19-09,40.712836,-74.005662,2020,3,1
C-19-10,40.712881,-74.005823,2020,3,1
C-19-11,40.712995,-74.005963,2020,3,1
C-19-12,40.713044,-74.006242,2020,3,1
C-19-14,40.713339,-74.006313,2020,3,1
C-19-16,40.71312,-74.006862,2020,3,1
C-19-17,40.712872,-74.006878,2020,3,1
C-19-18,40.712872,-74.006878,2020,3,1
C-20-07,40.704211,-74.015859,2020,3,1
C-20-10,40.704171,-74.015242,2020,3,1
C-20-11,40.704468,-74.014774,2020,3,1
C-20-12,40.704453,-74.014757,2020,3,1
C-20-13,40.70442,-74.014741,2020,3,1
C-20-14,40.704188,-74.014853,2020,3,1
D-21-01,40.725308,-73.942789,2020,3,1
D-21-02,40.725511,-73.943609,2020,3,1
D-21-03,40.725511,-73.943448,2020,3,1
D-21-06,40.725397,-73.944124,2020,3,1
D-21-12,40.725364,-73.943512,2020,3,1
D-21-13,40.725397,-73.943297,2020,3,1
D-21-14,40.725197,-73.943273,2020,3,1
D-22-01,40.72167,-73.953364,2020,3,1
D-22-02,40.721768,-73.953192,2020,3,1
D-22-03,40.721662,-73.953278,2020,3,1
D-22-04,40.721857,-73.953139,2020,3,1
D-22-08,40.721713,-73.95305,2020,3,1
D-22-09,40.721933,-73.953147,2020,3,1
D-22-10,40.722283,-73.953115,2020,3,1
D-22-11,40.722698,-73.953198,2020,3,1
D-22-12,40.722819,-73.952095,2020,3,1
D-22-13,40.722966,-73.951987,2020,3,1
D-22-14,40.723136,-73.951794,2020,3,1
D-22-15,40.723071,-73.951697,2020,3,1
D-22-16,40.723006,-73.951655,2020,3,1
D-22-17,40.722962,-73.951752,2020,3,1
D-22-18,40.722603,-73.951449,2020,3,1
D-22-20,40.720606,-73.952769,2020,3,1
D-22-21,40.720582,-73.952694,2020,3,1
D-22-22,40.720533,-73.95272,2020,3,1
D-22-23,40.720488,-73.952806,2020,3,1
D-22-24,40.720458,-73.954244,2020,3,1
D-22-25,40.720018,-73.953442,2020,3,1
D-22-26,40.720026,-73.953652,2020,3,1
D-22-27,40.719777,-73.952774,2020,3,1
D-22-28,40.720114,-73.952768,2020,3,1
D-22-29,40.719944,-73.952505,2020,3,1
D-22-30,40.720448,-73.952521,2020,3,1
D-22-31,40.720412,-73.952353,2020,3,1
D-22-32,40.720372,-73.952326,2020,3,1
D-22-33,40.720749,-73.951891,2020,3,1
D-22-34,40.721181,-73.951255,2020,3,1
D-22-37,40.721315,-73.950943,2020,3,1
D-22-40,40.721173,-73.950781,2020,3,1
D-22-41,40.721161,-73.950732,2020,3,1
D-22-42,40.721124,-73.950797,2020,3,1
D-22-43,40.721026,-73.950765,2020,3,1
D-22-44,40.719376,-73.952326,2020,3,1
13E-AM-1017-05,40.7762126854894,-73.9702676472613,2018,10,17
11H-AM-1010-03,40.7725908847499,-73.9683613516225,2018,10,10
11D-AM-1010-03,40.7742879599026,-73.9722500196844,2018,10,10
20B-PM-1013-05,40.7823507678183,-73.9695063535333,2018,10,13
36I-PM-1007-01,40.7919669739962,-73.9532170504865,2018,10,7
5C-PM-1010-09,40.7702795904962,-73.9768603630674,2018,10,10
7H-AM-1006-05,40.7698124821507,-73.9706105896967,2018,10,6
16C-PM-1018-03,40.7787526130321,-73.9703781726172,2018,10,18
32A-PM-1013-03,40.7924173263904,-73.9638179439747,2018,10,13
17F-AM-1007-07,40.7784859700171,-73.9671130680114,2018,10,7
16I-AM-1008-01,40.7764929694457,-73.9649866016038,2018,10,8
12I-AM-1013-01,40.7734991420941,-73.9670628558161,2018,10,13
25A-AM-1013-04,40.7867352791232,-73.9671786715256,2018,10,13
15E-AM-1013-01,40.7769536102488,-73.9692943291611,2018,10,13
39G-PM-1013-06,40.7952445999836,-73.9540054100539,2018,10,13
29I-PM-1007-01,40.7868659490397,-73.9576530157255,2018,10,7
10A-PM-1014-01,40.7753897331918,-73.9756976076707,2018,10,14
22F-PM-1014-05,40.7820818516957,-73.9643153920428,2018,10,14
12B-AM-1007-01,40.7757957380463,-73.9742073452913,2018,10,7
